order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
01A,Introduction,Introduction,introduction/intro,info-circle,/lessons/introduction/intro,The introduction to this course.
02A,About Workshop and Me,Why,about-workshop-and-me/why,dumpster-fire,/lessons/about-workshop-and-me/why,""
03A,PropTypes,nameBadge,PropTypes/nameBadge,file-code,/lessons/PropTypes/nameBadge,""
03B,PropTypes,Migrating From Proptypes,PropTypes/migrating-from-proptypes,file-code,/lessons/PropTypes/migrating-from-proptypes,""
03C,PropTypes,Refactoring Prototypes,PropTypes/refactoring-prototypes,file-code,/lessons/PropTypes/refactoring-prototypes,""
03D,PropTypes,Solutions,PropTypes/solutions,file-code,/lessons/PropTypes/solutions,""
03E,PropTypes,Commonly Used Props,PropTypes/commonly-used-props,file-code,/lessons/PropTypes/commonly-used-props,""
04A,Children,Type the Children,children/type-the-children,baby,/lessons/children/type-the-children,""
04B,Children,Type the Children Solution,children/type-the-children-solution,baby,/lessons/children/type-the-children-solution,""
04C,Children,Built In Types,children/built-In-types,baby,/lessons/children/built-In-types,""
05A,Hooks,useState,hooks/useState,hammer,/lessons/hooks/useState,""
05B,Hooks,useState Exercise,hooks/useState-exercise,hammer,/lessons/hooks/useState-exercise,""
05C,Hooks,useState Solution,hooks/useState-Solution,hammer,/lessons/hooks/useState-Solution,""
05D,Hooks,Setting State without Default Value,hooks/setting-State-without-default-value,hammer,/lessons/hooks/setting-State-without-default-value,""
05E,Hooks,State and Event Exercise,hooks/state-and-event-exercise,hammer,/lessons/hooks/state-and-event-exercise,""
05F,Hooks,State and Event Solution,hooks/state-and-event-solution,hammer,/lessons/hooks/state-and-event-solution,""
05G,Hooks,Passing setState and Reusing State,hooks/passing-setState-and-reusing-state,hammer,/lessons/hooks/passing-setState-and-reusing-state,""
05H,Hooks,Passing setState and Resuing State Solution,hooks/passing-setState-and-resuing-state-solution,hammer,/lessons/hooks/passing-setState-and-resuing-state-solution,""
05I,Hooks,Unions in Typescript,hooks/unions-in-typescript,hammer,/lessons/hooks/unions-in-typescript,""
06A,Reducers,Working with Reducers,Reducers/working-with-reducers,recycle,/lessons/Reducers/working-with-reducers,""
06B,Reducers,Passing Dispatch as a Prop,Reducers/Passing-dispatch-as-a-prop,recycle,/lessons/Reducers/Passing-dispatch-as-a-prop,""
06C,Reducers,Typing Action and Reducers,Reducers/Typing-action-and-reducers,recycle,/lessons/Reducers/Typing-action-and-reducers,""
06D,Reducers,Typing Action and Reducers Solution,Reducers/Typing-action-and-reducers-solution,recycle,/lessons/Reducers/Typing-action-and-reducers-solution,""
07A,Context Api,The Context Api,context-api/the-context-api,copyright,/lessons/context-api/the-context-api,""
07B,Context Api,Context Api Exercise,context-api/context-api-exercise,copyright,/lessons/context-api/context-api-exercise,""
07C,Context Api,Context Api Solution,context-api/context-api-solution,copyright,/lessons/context-api/context-api-solution,""
